StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q1.3_1,Q1.3_2,Q1.4,Q1.5,Q2.2_1,Q2.2_2,Q2.2_3,Q2.3_1,Q2.3_2,Q2.3_3,Q2.4_1,Q2.4_2,Q2.4_3,Q2.5_1,Q2.5_2,Q2.5_3,Q2.6_1,Q2.6_2,Q2.6_3,Q2.7,Q2.8,Q2.9,Q2.10,Q2.11,Q2.12,Q3.1,Q3.1_4_TEXT,Q3.2,Q3.2_4_TEXT,Q3.3,Q3.3_4_TEXT,Q3.4,Q3.4_4_TEXT,Q3.5,Q3.5_4_TEXT,Q3.6,Q3.6_3_TEXT,Q3.7,Q3.7_4_TEXT,Q3.8,Q3.8_3_TEXT,Q3.9,Q3.9_3_TEXT,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q4.1,Q4.1_4_TEXT,Q4.2,Q4.3,Q4.3_7_TEXT,Q4.4
2021-02-08 09:52:24,2021-02-08 13:18:36,0,100,12372,1,2021-02-08 13:18:38,R_1dM7lrDQts4lrS4,email,EN,1,1,39,10,,5,90,5,10,80,10,10,80,10,15,70,15,20,71,9,"I am 4 months post mid career review and the criteria for tenure is, at best, evolving.  The above metrics are best guesses.",7,7,3,"One of the more salient issues around teaching during Covid-19 has been the availability of TA's to support teaching.  I am teaching loaded courses with 90 undergrads and one TA whose time allocation is 20 hours per week; in the Spring, I will be teaching 3 classes with a similar level of assistance. This directly impacts my ability to respond to student needs that since Covid have expanded to areas of wellness, such as: food and shelter insecurity, financial stress, sickness, and other assorted stressful life events.

Also, it's worth noting that I am 4 months post my mid career review and the criteria against which I'm being evaluated is ""evolving""  most senate faculty in my unit are, at best, vaguely aware of the criteria they're being asked to assess. 

Prior to being at UCI I was a Professor of the Practice (POP) at Duke as well as an Academic Dean; this model and many variations on this theme exist at many institutions, point being, UCI doesn't have to reinvent the wheel.

Finally, the questions ""what is the school's expectation of my academic workload"" is a moving target as far as distribution is concerned.",8,3,,2,,3,,3,,3,,2,,2,,2,,1,,4,5,"definently with the undergraduate students; many of them are first generation and do not arrive with the traditional skill set that I have experienced at other R1 universities. it's important to differentiate the curriculum and the  assessments that you deploy - Covid-19 has been very challenging for them across a myriad of contexts and I have worked to ensure that they feel heard, valued and provided with ample opportunities to demonstrate complete mastery of course material","Writing, presenting and researching in my area of American historical research centered on school choice and race.  Although during Covid this has proven challenging with archival research and the time to write being drastically curtailed",1,2,,2,6,,2
2021-02-08 13:28:22,2021-02-08 13:39:43,0,100,680,1,2021-02-08 13:39:43,R_6taozTMpjxPTw9H,email,EN,2,4,33,1,Drama,30,50,20,50,30,20,50,30,20,50,30,20,50,30,20,I think we work beyond 100% often. This should be evaluated.,12,8,6,"We urgently need some larger institutional support to balance the workload within our department. ",8,3,,1,,1,,1,,1,,1,,2,,1,,1,,2,1,My leadership and mentorship within my school.,My research is unique and benefiting the field on multiple levels.,1,2,,2,6,,2
2021-02-08 14:27:22,2021-02-08 14:33:23,0,100,360,1,2021-02-08 14:33:23,R_tWePt8u29iKPiVj,email,EN,1,1,36,12,,10,60,30,15,70,15,15,70,15,20,70,10,20,60,20,,6,5,3,,6,4,"They would, but I teach too many large classes to stack easily",1,,3,,2,,3,,2,,3,,1,,1,,2,2,"I teach a lot of large courses and service courses, and I do quite a bit of service (particularly at the school and departmental level).",Not sure.,2,1,,2,6,,2
2021-02-08 14:40:36,2021-02-08 14:57:17,0,100,1001,1,2021-02-08 14:57:19,R_1JLy5nNKGfY68kM,email,EN,1,1,38,15,Anthropology,10,70,20,25,60,15,20,70,10,30,60,10,15,70,15,,8,7,3,,6,4,nearly impossible with an 8-9 course load,4,I have broad control over which of the 10 courses I have developed I will teach in any given year.,4,This is not coming from the unit but rather from how I design the course itself.,4,"I am the only person in my sub-discipline in the department. But I do feel that my colleagues recognize its value and the efforts to connect it to broader interdisciplinary concerns. ",3,,"2,3",But this has been largely disrupted by both pandemic and an inaccessible field-site for research (Middle East).,4,Will plan to take first sabbatical next year -- chair has been supportive.,1,,1,,2,2,"1) Providing a set of core courses that were previously unavailable at UCI
2) Service to the department, school, university through numerous committee memberships and leadership roles in the department and Academic Senate.",This has been more of a challenge given the first couple of years developing courses and the pandemic. I continue to publish but have largely been unable to maintain a sustained research program. This should change with an upcoming 2 quarter sabbatical next AY that should allow me to complete some projects and initiate others. One major issue is having no time to develop grant proposals for finding external funding to support those efforts.,1,2,,2,6,,2
2021-02-08 15:13:13,2021-02-08 15:22:15,0,100,541,1,2021-02-08 15:22:15,R_12MA0Rgk97DMBds,email,EN,2,1,33,2,,10,50,40,30,60,10,0,60,40,10,50,40,30,40,30,"My workload goes above 100% because I'm not allotted any time for research in my current workload breakdown. ",4,3,4,"I hold an administrative appointment that gives me releases from teaching and which also enhances both my research and service elements. ",8,1,,1,,4,not really a consideration,1,,1,,2,,1,,1,,1,,3,2,"As Director of a very large undergraduate unit, I know my work is vitally important to the educations of most UCI students...and I don't take it lightly. ","My administrative work here at UCI has led to me into systemwide discussions and administrative positions...currently, I am centrally involved in creating the new writing placement system for newly matriculated UCI freshpeople. We are looking to place around 4,000 students this year...it's both an exciting and daunting project!",2,2,,2,6,,2
2021-02-08 15:07:55,2021-02-08 15:25:25,0,100,1049,1,2021-02-08 15:25:26,R_2cjEovAqOmFgYD5,email,EN,1,2,39,13,Mechanical and Aerospace Engineering,35,50,15,25,65,10,25,65,10,40,50,10,25,65,10,"I think there is too much of an emphasis on research products, since faculty are familiar with reviewing research performance. I'd like for there to be more focus on teaching but evaluative teaching and inclusive excellence criteria need to be improved significantly. 

Mentoring undergraduates is not considered teaching in my department. ",6,5,3,"It's very awkward for a professor of teaching to request teaching releases, but many tasks that are teaching adjacent (research on teaching methods, ABET evaluation, etc.) don't count as teaching. It's tricky when your research is on teaching and education - people don't know how to differentiate. ",8,2,,2,,1,,3,,"1,4","Only some of my colleagues value what I am doing. However, I think it is telling that I cannot advise a PhD student in engineering education research for their dissertation work. ",1,,3,,1,,1,,3,4,"Teaching graduate students about evidence-based teaching methods. They are our future faculty and so it is essential for them to learn about inclusive and equitable teaching practices. ","Through my discipline based education research. ",1,1,,2,"3,6",,3
2021-02-08 15:16:41,2021-02-08 15:55:23,0,100,2322,1,2021-02-08 15:55:24,R_33dIzqswHG0bq5D,email,EN,2,1,34,8,Law,15,63,22,5,70,25,5,70,25,15,60,25,25,50,25,,3,3,3,"I teach a 6-credit clinic each semester, a 3-credit large lecture course, plus independent study and advanced clinic add-ons. The above questions ask about ""courses,"" and this is also how my school conceptualizes it (i.e., the 6-credit per semester clinic ""counts"" as 1 course, just as a 1- or 2-unit seminar counts as 1 course). Research Rank and Legal Writing faculty teach 8-10 credits per academic year, while Clinical Faculty teach 14-16.",8,2,,2,,1,,"2,4","Associate Deans and senior faculty often say that writing is not required for the SOE line and my publications do not ""count.""","2,4","Associate Deans and senior faculty often say writing is not required for the SOE line and that publications don't ""count.""",3,"Yes, as required by the university, but ""no"" as desired for general career advancement.",1,,1,,1,,3,2,"Substantial teaching, directing a litigation-focused clinic that represents community members and some UCI students, directing an interdisciplinary center, chairing committees, working through the summer while in a 9-month position","Directing a litigation-focused clinic that represents community members and some UCI students, directing an interdisciplinary center, producing publications that are recognized in my fields, giving multiple lectures in the community each month and presenting at academic conferences",2,1,,2,6,,2
2021-02-08 15:47:18,2021-02-08 15:59:31,0,100,733,1,2021-02-08 15:59:32,R_a32aVFiP37CMAeZ,email,EN,1,4,39,4,,11,66,23,21,62,17,15,65,20,0,80,20,15,65,20,,5,5,1.5,It would be helpful if departments didn't allow faculty to create and keep a small boutique course for their teaching load if enrollment is below 100. It doesn't serve the students who have specific need for the big courses.,6,4,"It is theoretically allowed, but a course might need to be taught a certain quarter and there is nobody else willing to teach my courses.",4,"It isn't minimized, but it was agreed upon at the start and hasn't changed, so it is fine.",4,"If I needed to split a class into two sections for research, they might be able to make it happen. But otherwise the courses I teach need to be taught when I teach them, and nobody else can teach my courses.",3,,1,,1,,4,"I haven't tried yet, but they could probably work it out.",1,,1,,1,1,"My teaching, occasionally within my department regarding evidence-based teaching",Conference organization and publications,1,1,,2,6,,2
2021-02-08 17:54:08,2021-02-08 18:00:28,0,100,379,1,2021-02-08 18:00:28,R_3PNQmRhgpQzLYJP,email,EN,1,3,36,6,,15,70,15,15,70,15,15,70,15,15,70,15,25,60,15,,5,4,3,"The load based only on number of courses is deceptive. I keep getting assigned new courses, and often the assignments have come with very little advance notice. Teaching the same five courses year after year is VERY different than teaching 5 courses with 2-3 new courses per year.",7,3,,4,Somewhat,1,,3,,4,"Some do, others do not",2,,3,,3,Somewhat,3,Somewhat,4,4,With students in my classes and in my department,In discipline-specific research and program design,2,5,,3,8,,3
2021-02-08 18:22:02,2021-02-08 18:49:57,0,100,1675,1,2021-02-08 18:49:58,R_vMQkRyjhPe30IRX,email,EN,3,3,39,1,,10,65,25,20,60,20,30,35,35,30,40,30,20,60,20,"My first 8 years at UCI, I taught an average of 19 classes an academic year. Drama 240 classes (which are studio classes) actually require much time and energy than a standard class.  A frequently mis-understood reality by upper administration.",9,6,6,Can there please be a study about what folks get paid in the Claire Trevor School of the Arts verse what salary structures look like in other areas outside the arts? Thank you.,9,2,,1,,2,,1,,1,,2,,3,,1,,1,,3,2,In inspiring students to achieve the greatest potential,"Creating the next generation of Theatre Makers that have a national and international impact. ",1,2,,2,6,,2
2021-02-08 21:01:30,2021-02-08 21:12:27,0,100,657,1,2021-02-08 21:12:28,R_2rABfL8aNRnKOQu,email,EN,3,4,32,6,Chemistry,4,81,15,0,90,10,10,70,20,20,60,20,10,75,15,,4,3,2,"It's difficult for me to answer this because I am both instructor and lab coordinator in one. For example, I typically handle over 1000 students per quarter with a TA group larger than many other people's classes.",7,"2,4",It's not possible because I run the lab program.,1,,1,,3,,1,,2,,4,We have not determined how this will work because there is no one who could easily replace me for teaching without me having to do extensive extra work to prepare them or assist while I was on sabbatical.,1,,1,,1,2,There are enough of us in my department that we have been able to have an impact on our colleagues.,I have finally been able to create a network with social media and have been able to interact more with others in similar positions to mine. We are sharing remote teaching strategies and resources. I am able to provide support and guidance to newer faculty.,1,1,,2,6,,2
2021-02-08 23:41:41,2021-02-08 23:56:06,0,100,864,1,2021-02-08 23:56:07,R_qx7jhvbR7ue9zEt,gl,EN,3,4,36,13,Mechanical and Aerospace Engineering,5,55,40,10,70,20,20,70,10,30,60,10,20,45,35,I really don't know the campus expectation for PoTs.,6,6,3,"It is hard to measure courses for me. I do a lot of work with projects and they are not necessarily considered courses. With that said, it is a lot of work to teach 2 regular classes, so I would have a hard time teaching 2 regular classes (=6) per quarter. ",9,"3,4","Never asked, so I'm not sure. Stacking would probably kill me. ","2,4","More inclined to give research rank faculty a break in this regard. ","3,4",Never asked.,2,,"1,4",Maybe 50% of the department would ...,2,,3,,1,,1,,3,3,Student projects.,"I don't think I am making an external impact at this time. ",1,2,,2,6,,2
2021-02-09 01:01:50,2021-02-09 01:07:18,0,100,328,1,2021-02-09 01:07:19,R_3kB9o0cqQNViH1q,email,EN,2,1,36,6,,5,50,45,10,45,45,10,45,45,20,40,40,25,40,35,,7,6,3.5,,9,2,,1,,1,,1,,2,,2,,1,,1,,1,,3,3,Support of individual students,Research,1,2,,2,6,,2
2021-02-09 01:35:16,2021-02-09 01:54:58,0,100,1182,1,2021-02-09 01:54:59,R_24kCAB7byQumJz6,email,EN,1,1,38,12,Urban Planning & Public Policy,0,75,25,25,50,25,25,50,25,25,50,25,25,50,25,,8,6,4,,10,2,,2,,2,,2,,3,,2,,"2,3",,2,,2,,5,5," Remote teaching and student outreach and engagement",Research and professional networking,1,1,,2,2,,2
2021-02-08 08:08:58,2021-02-09 08:17:41,0,100,86923,1,2021-02-09 08:17:42,R_SIV24CMqPEbmpu9,email,EN,2,1,39,3,Pharmaceutical Sciences,36,40,24,26,54,20,30,46,24,17,61,22,43,43,14,,6,4,1.5,,9,3,,3,,3,,1,,3,,1,,3,,1,,1,,4,4,My discipline Research and teaching,"Research ",1,1,,2,7,middle eastern,2
2021-02-09 08:02:49,2021-02-09 08:23:27,0,100,1238,1,2021-02-09 08:23:44,R_w7WOfehx4wiGVhv,email,EN,3,1,41,4,Mol Bio and Biochem,15,70,15,15,70,15,15,70,15,15,70,15,15,70,15,"I am still new to UCI, and have not been through the merit/promotion cycle so I may be way off base in my expectations",5,5,1,"I really think there should be more emphasis on the number of units taught in the AP-10 and surveys like this.  For example, the questions in this survey ask only about course number and it is a very different thing to teach a 2 unit course compared to an 8 unit course.  Most of my courses are 8 unit courses.  I answered the thermometer question on this survey with the assumption being severely overburdened with 10 8 unit courses in a year.",10,3,,1,,2,,1,,3,,1,,3,,1,,1,,3,3,In the graduate program that I teach in and direct.,Not sure,1,1,,2,6,,2
2021-02-09 09:00:45,2021-02-09 09:05:38,0,100,292,1,2021-02-09 09:05:46,R_6nwi5ktZrAmnRC1,email,EN,1,1,37,6,Chemistry,25,50,25,40,50,10,30,50,20,50,30,20,30,50,20,"I am happy with my workload and my department's expectations, but I think the campus/CAP places more emphasis on research than my department does.",5,5,2,My teaching load is fine. My department does a good job with that.,5,3,,1,,1,,1,,1,,2,,3,,1,,"1,3","I did, but then I got a poor mid-career review and the department encouraged me to back off on Senate service, which I did.",1,2,"Within my department, with the classes I teach.","My (infrequent) publications, I guess.",1,2,,2,6,,2
2021-02-08 12:35:41,2021-02-09 09:13:30,0,100,74268,1,2021-02-09 09:13:30,R_2Blpj9QIR4ewTqZ,email,EN,1,1,40,4,,80,10,10,60,30,10,60,30,10,60,30,10,60,30,10,"I have only experienced 2 non-pandemic quarters, so I am not really sure what a ""normal"" quarter looks like yet. ",5,5,2,,6,3,,1,,3,,3,,3,,2,,3,,1,,1,,4,3,connection with students,course development,1,1,,2,6,,3
2021-02-09 09:13:24,2021-02-09 09:27:48,0,100,863,1,2021-02-09 09:27:49,R_2b41ATkfe9xsRco,email,EN,2,3,33,4,Neuroiology & behavior,10,60,30,10,60,30,10,60,30,10,60,30,10,60,30,,10,8,2,,7,3,,1,,1,,1,,1,,1,,3,,1,,1,,1,2,In my courses and through the development of new undergraduate programs.,"Probably in outreach at the moment, overseeing a medical free clinic and other programs. I've always cared more about making a direct impact in the community around UCI as opposed to making a name for myself as some kind of education research specialist. In education research I mainly try to tailor projects that allow undergrads to get their names on a publication. It's more about what I can do for them as opposed to me at this point in my career. ",1,1,,2,6,,3
2021-02-09 08:19:26,2021-02-09 09:41:26,0,100,4919,1,2021-02-09 09:41:26,R_3DnAQIsbPK20BJB,email,EN,2,1,38,2,,5,60,35,0,90,10,10,75,15,20,70,10,15,65,20,"The first question was difficult to answer. I answered it in relation to the average time I have spend on these things in the past three years. This year, however, I am spending at least 50% of my time on service (if not more). This is in part due to the pandemic, but also in large part not (the line is difficult to draw). 

Also, in my position, service is an important part of the teaching component because I work on pedagogical development. So, my service is directly related to teaching and is also necessary to create the infrastructure necessary for effective teaching in my program and in the School of Humanities. This kind of pedagogical work--which directly affects how teaching happens at the university--would ideally offset my other teaching responsibilities. It takes as much time--if not more. ",7,6,4,"I would ideally like to see different options for this position, that better define the nature of the work we do. For example: 
--a full teaching load of 6 courses and minimal service
 versus
--a partial teaching load of 4 courses and considerable service (for programmatic development, cross-campus initiatives, etc.)

",9,2,,2,,2,,3,,1,,2,,3,,1,,3,"to some extent, but not enough",2,4,Both in the classroom--directly with students--and with the work I am doing for pedagogical development across campus,"In mindfulness training, developing expertise in mindfulness and stress-reduction therapies.",1,1,,2,6,,1
2021-02-09 11:24:51,2021-02-09 11:41:52,0,100,1021,1,2021-02-09 11:41:53,R_3PuUmThWwxddZD5,email,EN,1,1,41,15,Economics,9,87,4,35,60,5,35,60,5,35,60,5,38,49,13,I do know how to answer those questions. It was never clear what school and campus expectations are,8,5,0,"I do not know the number of courses for a Research Rank professor. But I think that teaching 8 courses a year is too much and does not allow for good research. 
I do NOT know what the expectations of campus and school are for my workload!",8,3,,1,,"1,4",kind of ...we need to teach where it is necessary,"1,4","I also think that to be a good teacher one needs to do discipline research ",3,,2,,4,This does not apply yet,1,,1,,1,2,At the moment I do not know what to say because I just started July 2020 and my fall quarter was not an easy quarter,Presenting my research in conferences and working with other researchers,2,1,,2,6,,2
2021-02-09 12:12:24,2021-02-09 12:20:18,0,100,474,1,2021-02-09 12:20:19,R_1OqxNWhbMbaiovc,email,EN,1,1,40,10,,15,75,10,3,80,17,3,80,17,15,70,15,20,65,15,NA,6,6,3,,9,3,,1,,2,,1,,1,,2,,1,,1,,1,,3,4,"The undergraduate course experience - By providing high quality instruction and opportunities ",Through visibility - We are one of the premier institutions for Learning Analytics research.,1,2,,2,4,,2
2021-02-09 11:51:50,2021-02-09 12:24:07,0,100,1937,1,2021-02-09 12:24:07,R_2qgC3WW1s2uIvCG,email,EN,3,1,36,6,Chemistry,5,90,5,0,95,5,0,100,0,10,80,10,10,80,10,The pandemic has made it impossible to do anything but teach (about 60 hours per week on average is spent teaching),8,7,2,"Research can only be done by powering through in short bursts on top of a hectic teaching load. There is no time to have any life outside of work when I am writing a paper, for example, at the same time that  am teaching two classes.",8,2,,1,,1,,4,The teaching is valued. The research is overlooked unless it is time for a merit increase. Service is valued more than research.,3,,2,,4,"if I can cover my classes, then it would be allowed.",1,,1,,2,2,"My biggest impact is the job that I am doing teaching and mentoring students. I feel this every day, and it is incredibly rewarding. I am enormously proud of how I have risen to the occasion in this pandemic. My students are doing exceptionally well and the atmosphere that I have created is as close as you can get to an in-person class. I have mentored other faculty members teaching online for the first time in Fall 2020 and Winter 2021, and I know I have had an impact on them.","My publications and presence at conferences and talks that I have given have been impactful. In spring 2020, I published a manuscript detailing the steps that I took to move my class online virtually overnight, and I hope that this has been helpful to others who were teaching online for the first time in Fall 2020.",1,1,,2,6,,2
2021-02-09 12:51:59,2021-02-09 13:02:18,0,100,619,1,2021-02-09 13:02:18,R_rokrtfAWFdRy0mZ,email,EN,1,1,40,2,,10,70,20,25,50,25,30,50,20,30,50,20,10,60,30,It's hard to gauge this since only 2 of the 5 quarters I've taught so far have not been during the pandemic,6,6,3,,6,3,,1,,1,,3,,3,,2,,2,,1,,1,,2,2,I feel like my dedication to teaching is strengthening my department's offerings and could potentially increase the number of majors.,"Due to the pandemic, I feel I'm severely limited in my ability to have an impact outside of UCI.",1,1,,2,4,,2
2021-02-09 13:03:03,2021-02-09 13:10:11,0,100,427,1,2021-02-09 13:10:11,R_11j6kzZLtRVCUls,email,EN,1,2,39,13,Biomedical Engineering,5,70,25,30,60,10,30,60,10,30,60,10,30,60,10,,8,6,2,,9,3,,2,,2,,3,,1,,2,,2,,1,,1,,3,4,Within the undergraduate curriculum,Within engineering education for biomedical engineers,1,1,,2,6,,2
2021-02-09 12:20:17,2021-02-09 13:41:45,0,100,4888,1,2021-02-09 13:41:46,R_23UiIRrjuevxvpO,email,EN,1,3,39,9,"Health, Society, and Behavior",5,75,20,25,55,20,25,50,25,25,65,10,25,50,25,"It's very hard to gauge this and ignore the last year, as it's a third of my time as a teaching professor. My pandemic workload has been horrifying, and that matters, I think. ",6,6,3,"My normal teaching load and my departmental colleague's normal load are both very fair. ",5,3,,1,,4,"I haven't attempted to teach other things, but I think they'd be amendable.",1,,1,,2,,4,"The university has set it up so that I won't be able to take sabbatical for many years, but I assume the department will be fine.",1,,1,,1,1,"My two major classes are large and required are clearly affecting students in good ways, and this has made me feel like I am having a big impact on our undergraduates.","We are graduating hundreds of future public health workers every year, and I feel that this is producing a clear benefit to our community. It actually makes me feel like I'm doing something to counteract the horrors of our current horrors. ",1,2,,2,6,,2
2021-02-09 15:03:20,2021-02-09 15:09:48,0,100,387,1,2021-02-09 15:09:49,R_2aCXCFa6dZxEI9P,email,EN,1,4,38,13,EECS,10,60,30,20,60,20,20,60,20,20,60,20,10,80,10,The workload for teaching is underestimated (what 60/80% looks like at the school level vs what effort is needed to create a successful course for students).,6,6,3,"Number of courses do not tell the whole story. There is a huge difference if I am teaching a core course vs elective course, lower division vs upper division, graduate vs undergrad. There is also a huge difference between teaching a course and teaching it well.",8,1,,1,,1,,3,,1,,2,,3,,1,,1,,4,4,Core undergraduate courses,n/a - haven't had much time to attend conferences w/ the teaching & service load.,1,5,,3,8,,3
2021-02-09 19:05:50,2021-02-09 19:29:48,0,100,1438,1,2021-02-09 19:29:48,R_3qR1nNpNnR7SpN9,email,EN,1,1,39,1,Art,10,65,25,25,55,20,10,64,26,10,57,33,25,60,15,,8,7,3,"I'm responsible for 7 different courses. I don't mind teaching a load of 8 classes per year but the fact that I usually teach 6-7 distinct courses a year requires a lot of extra organizational energy and planning. ",7,3,,2,,4,"Ultimately I have the freedom to choose which courses to offer, however I am responsible for all of the beginning and intermediate level course so if I don't offer them then there is no one to teach them.",1,,3,,2,,1,,1,,2,,3,2,"with the students - teaching and mentorship, working with honors students",in my field of research and the work I produce,1,1,,2,7,Middle Eastern,2
2021-02-10 09:55:22,2021-02-10 10:50:42,0,100,3320,1,2021-02-10 10:50:42,R_33yiW577LWUmf9m,email,EN,1,4,37,7,,25,55,20,35,50,15,40,50,10,20,70,10,20,60,20,"I have many service appts (program director, senate committees, chair of large conference, area coordination, etc), which I enjoy and want to keep, however they do come at a cost of less time for research.",5,4,3,"Additional information for questions 1-3:
1. Typically 4-5 and 2, 2-unit internship courses which I don't get teaching credit for as they are considered part of my course release for my program director role.  Almost all of my classes are different and/or new preps.

2. 4 given all of my service work and I need time for research as there is high expectation still for research even with professor of teaching faculty.

3. 2-4
",8,2,,2,,2,,1,,2,,2,,1,,1,,3,there are expectations for service but I don't feel it's valued,4,4,"In curriculum development, running our masters program, and engagement with the professional community (conferences and student and diversity inclusiveness efforts). ",Engagement with the professional community (national conference and personal relationship building with business leaders locally and nationally. Student and diversity inclusiveness efforts- helping to build new student organizations and engage and enhance visibility to prospective and URM students regarding a career paths in my area of practice/research.  I also am active in discipline research and present at and attend conferences frequently.,1,1,,2,4,,2
2021-02-09 10:18:21,2021-02-10 14:54:28,0,100,102966,1,2021-02-10 14:54:28,R_2X0YlpBboLLVO6H,email,EN,3,,,,,25,70,5,15,70,15,20,70,10,20,70,10,25,65,10,,4,7,3,"Do you want to count my research lab as part of my teaching? We meet every other week for 5 hours and they enroll in a 198. ",6,3,,1,,1,,3,,3,,2,,2,,1,,1,,2,2,teaching and mentorship,research related to mentorship and work on URMs in HE,1,1,,2,8,,2
2021-02-10 13:31:53,2021-02-10 17:01:50,0,100,12597,1,2021-02-10 17:01:51,R_3NXrdDGKITE2Vbx,email,EN,3,,,8,,11,73,16,17,67,16,16,67,17,17,80,3,13,67,20,"1)This question misconstrues and risks misleading respondents regarding the three criteria under which PoT/SOE faculty are reviewed, and is therefore likely to lead to misleading or misinformed responses.  In particular, the relevant category is not ""Research,"" it is professional and/or scholarly achievement and activities, including creative activities. The offered definition is too narrow, and depending on the discipline may suggest to faculty that activities from this category are Service (or better, University and Public Service).  
Answering the amount of time that a faculty member would like to spend or her/his unit expects faculty to spend on ""Research"" may be constrained by support for such research, including the type of financial support provided to faculty in the Professor Series. See APM 210-3. 
 ",3,3,3,"I assume by ""Research Rank"" you are referring to faculty in the Professor Series.
By asking about the number of courses, the question fails to take into consideration the type of courses, the relative intensity or workload associated with those courses, and the credits associated with those courses.  To take a straight-forward example, a Clinical Law Professor may teach two semesters of clinic (12 credits, or high intensity focus on a small number of students) and a doctrinal class (3 or 4 credits), and a doctrinal Professor of Law may teach the same number of classes but more routinely in two doctrinal classes and a seminar (small number of students with a writing component that can vary in its intensity from significant to less so).  ",5,"2,4","I am not sure what stacking classes is, but we teach on a semester system in which all faculty are expected to teach in both semesters, absent a leave, sabattical or special agreement.","2,4",I Nor would I expect it to.,"1,2,4","two of our three classes are established by our disciplines and type of teaching.  We have significant choice in our third class.  Neither the course selection nor the sections are designed to allow for pedagogy research. ",4,"The Law School and faculty will appreciate and credit such ""research""; however, ""values,"" implicates questions regarding support for such research, and in general SOE faculty do not receive monetary support for discipline-specific research.",4,"The Law School and faculty will appreciate and credit such ""research""; however, ""values,"" implicates questions regarding support for such research, and in general SOE faculty do not receive monetary support for discipline-specific research",3,"Up to this point, under the criteria applied for merit to this point, yes.  Time is sufficient for the type of professional activites expected.  If scholarship and ""research"" expectations are increased, then time and support will need to increase.  ",1,,1,,1,,2,1,"Teaching and preparing students.  Service to the law school and the university.  ","Working with students on behalf of clients in order to defend and protect rights, health, communities, and the like.
Working with external colleagues to identify areas of critical need for client work, expanding, improving and developing pedagogies to better teach and prepare students, to better serve our clients, and to better make necessary interventions.   ",2,2,,2,6,,2
2021-02-10 18:15:47,2021-02-10 18:38:56,0,100,1388,1,2021-02-10 18:38:56,R_2PBtvY5SCAxTA1y,email,EN,1,1,40,5,Computer Science,25,70,5,15,70,15,15,70,15,10,85,5,30,60,10,,6,5,3,"I think the courses should be based more on how large one is.  For example, last quarter I had two courses, but they were in total 649 students.  I've had two classes in five quarters that are over 350 students each (not the same quarter).  I think that should ""count"" in some way towards the workload more.  I think for traditional TT faculty, it does (I am not entirely sure the system in place).",6,3,,1,,1,,3,,1,,1,,3,,1,,3,Working on it,2,1,"Between teaching several core classes and managing a group of undergraduate student researchers, I'm not sure.  One of those two!","I am on the board for a regional education conference.  I think that's the most so far of my impact.  I have a major study I am working on that I think will have impact, but I won't know how much of an impact for quite some time.",1,2,,2,6,,3
2021-02-11 12:17:40,2021-02-11 12:30:59,0,100,799,1,2021-02-11 12:31:03,R_3fUlqAGGyaW6nyN,email,EN,3,1,28,5,CS,0,85,15,15,70,15,15,70,15,20,65,15,0,85,15,"I really have no clue about everything other than what my workload is, and even that is not steady-state: it depends on what committees, etc. I'm on or chair.",6,6,0,"For 1: 6 on the books, 1 off, 3 more off that I teach teach; these other ""off"" classes are not graded, but meet weekly and have some bureaucratic work.

For 2: Without reaserach, I'm fine with 6. If required to do researach, less. The classes I teach are 200-300 students, and large staff. There is not much time to do much else than teach and administer these classes.

For 3: No idea, and the notion of ""courses"" is ill-defined (see above answer about class sizes).",5,3,,1,,1,,3,,3,,2,,2,,1,,1,,2,2,Students.,"As I reach my retirement, most of my external visibility is for work I did earlier in my career.",1,2,,2,6,,2
2021-02-11 12:49:16,2021-02-11 12:55:36,0,100,380,1,2021-02-11 12:55:37,R_yknuQRfngeqW2wp,email,EN,2,1,38,15,Global Studies,20,60,20,20,60,20,20,60,20,20,60,20,20,60,20,,6,6,4,,7,1,,1,,1,,1,,1,,2,,4,Hasn't come up yet,1,,1,,2,2,Curriculum development,Curriculum development,1,2,,2,6,,2
2021-02-09 08:53:26,2021-02-11 13:02:17,0,100,187731,1,2021-02-11 13:02:18,R_UiHVglqV0GQePYd,email,EN,3,1,29,1,Music,0,60,40,20,60,20,20,60,20,20,60,20,20,60,20,,6,5,5,,10,3,,3,,3,,1,,1,,2,,4,"sabbaticals are problematic for performance faculty in the arts who teach studio classes. Covering teaching requires hiring someone and there isn't the budget for that. Current faculty members assume an overload to allow a faculty member to take a sabbatical. ",1,,1,,3,3,In the areas of teaching and service,In teaching,1,1,,2,6,,2
